,Article ID,Article Title,Coin Mentioned,Positive,Neutral,Negative
0,,Bitcoin Should Reach All Time Highs Soon - Why BTC Is Still King,btc,x,,
1,,Bitcoin Price Not Moving For Weeks - The First Quiet Market Since Long,btc,,x,
2,,China Ban Driving Down Bitcoin Price - The Full Report,btc,,,x
3,10.0,Shoreline.io Announces Open Source Solutions Library to Deliver Self-Healing Infrastructure,sol,,x,
4,12.0,"KuCoin Exchange Oversteps 20 Million User Milestone, Announces Commemorative Team Battle Event",kcs,x,,
5,13.0,"Immersion Cooling in Data Centers – Worldwide Market Growth Trends and Opportunities 2022-2027 Featuring Profiles of Fujitsu, Green Revolution Cooling, and Submer Technologies Among Others – ResearchAndMarkets.com","fil,uni",,x,
6,17.0,ProtoReality Games Presents First Immersive 3D Metaverse Mobile Game at World Blockchain Summit Singapore 15 July,xcn,,x,
7,19.0,Celsius Network Initiates Financial Restructuring to Stabilize Business and Maximize Value for All Stakeholders,cel,x,,
8,22.0,HIVE Blockchain Provides Update on Delayed Annual Filings,"fil,xcn",x,,
9,24.0,Uniswap V3 and Green Asset Pools Deploy on Celo for #ReFiSummer,"celo,uni",x,,
10,25.0,Mokum Stake Pool & Fabian Hogers Contribute To The Cardano Project For Positive Global Change,ada,x,,
11,27.0,KuCoin Offers the Highest Maker Rebate of up to 0.012% by Updating Its Market Maker Incentive Program,"kcs,mkr",x,,
12,30.0,Asset Management Market to Reach $1113.53 billion By 2028 | Booming IT Asset Management to Flourish the Market Growth,"mana,omi",x,,
13,31.0,RocketFuel Blockchain receives license to operate as a crypto exchange,"tfuel,xcn",x,,
14,33.0,KuCoin Into The Cryptoverse Reveals Increase In Number of Saudi Arabian Crypto Investors Adopting Auto-trading Strategies in Bearish Market,kcs,x,,
15,37.0,OKX announces that Tether is now available on its OKC blockchain,usdt,x,,
16,38.0,Transak Eases Crypto Onboarding for Thailand Users; Adds Local Thai Payment Methods to On-Ramp,"amp,eth",x,,
17,41.0,Aculys Pharma and SUSMED Have Entered into a Contract to Conduct the World’s First Clinical Trial Utilizing Blockchain Technology,xcn,,x,
18,45.0,"What Crypto Winter? Curios Raises $5MM in 6 Days; Platform Provides On-Ramp to NFT, Increasing Global Adoption of Web3",amp,x,,
19,46.0,Greenidge Generation Holdings Inc. Investors: Company Investigated by the Portnoy Law Firm,gt,,,x
20,48.0,Blockchain-Based Startup AltSwitch awarded Gold place by industry experts at Future Innovation Summit Dubai,xcn,x,,
21,51.0,B2B2C Insurance Industry to Surpass $4.4 Billion by 2026 – Major Companies Focusing on Launching Innovative Programs to Create Solutions by Leveraging New-Age Technologies – ResearchAndMarkets.com,sol,x,,
22,52.0,"Global Blockchain Market Report (2022 to 2028) – Featuring Genomes, QubiTech and CiveQ Among Others – ResearchAndMarkets.com","bit,xcn",,x,
23,53.0,Utherverse Announces Functional Non-Fungible Tokens (fNFT) For Use Across Multiple Metaverses,cro,x,,
24,54.0,"Unifi Protocol Debuts Decentralized Arbitrage Solution, Merging Private DeFi with High Security and Sustainable Returns","bit,sol,uni",x,,
25,55.0,"SuperTeam Games, the NFLPA and OneTeam Partners Announce STG Football, A Refreshing Take on Sports Games Powered by Blockchain Technology",xcn,x,,
26,56.0,Welcome to Illuminati — The first Unlimited NFT Farming and Auto-Staking Protocol with the best sustainability in DeFi3.0,mina,x,,
27,57.0,Exodus Releases Preliminary Q2 2022 Metrics,mina,,x,
28,59.0,Speedchain – Polygon Partner for Layer-2 B2B Payments,matic,,x,
29,61.0,"BabyApe is Ruling the Memecoin Industry – Introduces Cyberverse Comics, Improved Utilities and More","ape,omi",x,,
30,63.0,GK8 Updates Its Institutional-grade Digital Asset Management Platform With NEAR Protocol Support,near,,x,
31,64.0,Hyosung America Adds Premier Cash-to-Cryptocurrency Provider DigitalMint to its Forthcoming App Store,omi,x,,
32,68.0,KuCoin Partners with Coinrule to Bring Automated Trading to Its Users,kcs,x,,
33,69.0,"Soluna Holdings, Inc. Engages MZ Group to Lead Strategic Investor Relations and Shareholder Communication Program","sol,uni",,x,
34,71.0,AppSwarm’s COLONY Division Expands Its Cryptocurrency Mining Hardware Infrastructure Adding Dedicated Machine to Mine Ethereum,eth,x,,
35,72.0,The Bitcoin Collective and OKX to launch the UK’s first major Bitcoin conference,btc,x,,
36,75.0,The first blockchain layer-1 for NFTs to release Incentivized Staging Network,xcn,x,,
37,77.0,Cathedra Bitcoin Provides Operational and Corporate Updates,btc,x,,
38,78.0,"Gaming Pioneer BRAVO READY Announces $3M Seed Round and Development Partnerships with Solana Ventures, 6th Man Ventures, Justin Kan, Sino Global Capital, and Shima Capital",sol,x,,
39,79.0,BabyApe is Ruling the Memecoin Industry with its Revolutionary Tokenomics and Utilities,"ape,omi",x,,
40,80.0,MetaWin Launches Moonbirds Tournament With 26ETH NFT Prize,eth,x,,
41,85.0,2022 eGovernance Platforms and Services Growth Opportunities Report – Smart City Initiatives Driving E-Governance – ResearchAndMarkets.com,uni,x,,
42,86.0,"Global Automotive Blockchain Market Report (2022 to 2027) – Industry Trends, Share, Size, Growth, Opportunity and Forecasts – ResearchAndMarkets.com","uni,xcn",,x,
43,90.0,Krista Software Adds Global Risk and Compliance (GRC) Private Blockchain Support with Rubix Through a New Strategic Partnership,xcn,x,,
44,91.0,"New to The Street TV Announces Five Business Interviews, Episode #364, Airing on the Fox Business Network, Tonight, Monday, July 11, 2022, at 10:30 PM PT",ht,,x,
45,92.0,BitNile Holdings Forms Ault Energy to Make Strategic Oil and Gas Acquisitions,bit,x,,
46,93.0,"RevoluGROUP Canada Inc. Corporate Update, Fifth Third Bank, Card Issuer, DFSA, DCE, RevoluPAYVideos.com","ada,eos",,x,
47,94.0,Bit Origin Ltd to Add Additional 700 Mining Spots Increasing Mining Power of 64 PH/s,bit,x,,
48,95.0,"Futures, Perpetual Contracts and Spot Trading Pairs: Now Available on BitMEX Mobile App",bit,x,,
49,96.0,Algorand Foundation Appoints John Woods as Chief Technology Officer,algo,,x,
